fdate,moon_fans
2017-01-01,462633.0
2017-01-02,463046.0
2017-01-03,463443.0
2017-01-04,463908.0
2017-01-05,464289.0
2017-01-06,464800.0
2017-01-07,465445.0
2017-01-08,465795.0
2017-01-09,466059.0
2017-01-10,466295.0
2017-01-11,466555.0
2017-01-12,466974.0
2017-01-13,467544.0
2017-01-14,467900.0
2017-01-15,468272.0
2017-01-16,468578.0
2017-01-17,468964.0
2017-01-18,469534.0
2017-01-19,469904.0
2017-01-20,470318.0
2017-01-21,470525.0
2017-01-22,470903.0
2017-01-23,471593.0
2017-01-24,472151.0
2017-01-25,472524.0
2017-01-26,472976.0
2017-01-27,473414.0
2017-01-28,473715.0
2017-01-29,473982.0
2017-01-30,474329.0
2017-01-31,474521.0
2017-02-01,474758.0
2017-02-02,475405.0
2017-02-03,475959.0
2017-02-04,476518.0
2017-02-05,477068.0
2017-02-06,477535.0
2017-02-07,477998.0
2017-02-08,478327.0
2017-02-09,478469.0
2017-02-10,478765.0
2017-02-11,478909.0
2017-02-12,479072.0
2017-02-13,479179.0
2017-02-14,479293.0
2017-02-15,479373.0
2017-02-16,479623.0
2017-02-17,479737.0
2017-02-18,479899.0
2017-02-19,479960.0
2017-02-20,48e4
2017-02-21,480072.0
2017-02-22,480095.0
2017-02-23,480112.0
2017-02-24,480125.0
2017-02-25,480137.0
2017-02-26,480189.0
2017-02-27,480264.0
2017-02-28,480393.0
2017-03-01,480405.0
2017-03-02,480466.0
2017-03-03,480538.0
2017-03-04,480594.0
2017-03-05,480879.0
2017-03-06,481063.0
2017-03-07,481066.0
2017-03-08,481057.0
2017-03-09,481071.0
2017-03-10,481804.0
2017-03-11,482126.0
2017-03-12,482371.0
2017-03-13,482494.0
2017-03-14,482592.0
2017-03-15,482665.0
2017-03-16,482943.0
2017-03-17,483064.0
2017-03-18,483140.0
2017-03-19,483115.0
2017-03-20,483071.0
2017-03-21,483159.0
2017-03-22,483614.0
2017-03-23,483871.0
2017-03-24,484059.0
2017-03-25,484225.0
2017-03-26,484302.0
2017-03-27,484347.0
2017-03-28,485811.0
2017-03-29,486506.0
2017-03-30,486808.0
2017-03-31,486923.0
2017-04-01,487072.0
2017-04-02,487176.0
2017-04-03,487231.0
2017-04-04,487391.0
2017-04-05,487542.0
2017-04-06,487683.0
2017-04-07,487822.0
2017-04-08,488180.0
2017-04-09,488668.0
2017-04-10,489189.0
2017-04-11,489818.0
2017-04-12,490215.0
2017-04-13,490420.0
2017-04-14,490723.0
2017-04-15,490930.0
2017-04-16,491471.0
2017-04-17,492415.0
2017-04-18,493725.0
2017-04-19,494457.0
2017-04-20,495550.0
2017-04-21,496430.0
2017-04-22,497242.0
2017-04-23,498172.0
2017-04-24,499127.0
2017-04-25,499743.0
