fdate,sim_fans
2017-01-01,182787.0
2017-01-02,182954.0
2017-01-03,183088.0
2017-01-04,183233.0
2017-01-05,183366.0
2017-01-06,183510.0
2017-01-07,183666.0
2017-01-08,183759.0
2017-01-09,183876.0
2017-01-10,183964.0
2017-01-11,184139.0
2017-01-12,184275.0
2017-01-13,184422.0
2017-01-14,184580.0
2017-01-15,184715.0
2017-01-16,184816.0
2017-01-17,185045.0
2017-01-18,185766.0
2017-01-19,186332.0
2017-01-20,186873.0
2017-01-21,187214.0
2017-01-22,187431.0
2017-01-23,187670.0
2017-01-24,187972.0
2017-01-25,188212.0
2017-01-26,188433.0
2017-01-27,188633.0
2017-01-28,188867.0
2017-01-29,188958.0
2017-01-30,189064.0
2017-01-31,189150.0
2017-02-01,189290.0
2017-02-02,189971.0
2017-02-03,190303.0
2017-02-04,190634.0
2017-02-05,190873.0
2017-02-06,191244.0
2017-02-07,191758.0
2017-02-08,192064.0
2017-02-09,192329.0
2017-02-10,192452.0
2017-02-11,192503.0
2017-02-12,192628.0
2017-02-13,192656.0
2017-02-14,192722.0
2017-02-15,192784.0
2017-02-16,192878.0
2017-02-17,193012.0
2017-02-18,193118.0
2017-02-19,193211.0
2017-02-20,193268.0
2017-02-21,193300.0
2017-02-22,193372.0
2017-02-23,193434.0
2017-02-24,193497.0
2017-02-25,193543.0
2017-02-26,193710.0
2017-02-27,194348.0
2017-02-28,194640.0
2017-03-01,194931.0
2017-03-02,195150.0
2017-03-03,195334.0
2017-03-04,195491.0
2017-03-05,195727.0
2017-03-06,196015.0
2017-03-07,196149.0
2017-03-08,196228.0
2017-03-09,196341.0
2017-03-10,197130.0
2017-03-11,197619.0
2017-03-12,198920.0
2017-03-13,199999.0
2017-03-14,200656.0
2017-03-15,201095.0
2017-03-16,201509.0
2017-03-17,201834.0
2017-03-18,202155.0
2017-03-19,202403.0
2017-03-20,202962.0
2017-03-21,203491.0
2017-03-22,203885.0
2017-03-23,204413.0
2017-03-24,204936.0
2017-03-25,205390.0
2017-03-26,205864.0
2017-03-27,206066.0
2017-03-28,206565.0
2017-03-29,206815.0
2017-03-30,206982.0
2017-03-31,207178.0
2017-04-01,207470.0
2017-04-02,207899.0
2017-04-03,208368.0
2017-04-04,208771.0
2017-04-05,209204.0
2017-04-06,209568.0
2017-04-07,210204.0
2017-04-08,210654.0
2017-04-09,210939.0
2017-04-10,211319.0
2017-04-11,211714.0
2017-04-12,212285.0
2017-04-13,212682.0
2017-04-14,213752.0
2017-04-15,214727.0
2017-04-16,215482.0
2017-04-17,216153.0
2017-04-18,216959.0
2017-04-19,218400.0
2017-04-20,219590.0
2017-04-21,220615.0
2017-04-22,221565.0
2017-04-23,222461.0
2017-04-24,224409.0
2017-04-25,226438.0
